citrine iris byzantium
malachite teal yellow
gunmetal keppel manatee
lava telemagenta veronica
milk purpureus yellow
frogert rackley linen
skobeloff brass kobi
copper inchworm harlequin
copper ube mantis
persimmon jade milk
fawn mystic cinnamon
auburn sunglow redwood
copper imperial timberwolf
tangelo sunray keppel
aquamarine mahogany stizza
chestnut peach dirt
desert chamoisee puce
saffron cinnamon navy
grizzly straw jonquil
kobe apricot ming
gamboge zaffre licorice
mindaro wheat olive
folly avocado citron
nyanza ruddy ebony
grullo boysenberry icterine
mantis navy nickel
xanadu tangelo ruddy
cornsilk heliotrope ochre
orchid malachite artichoke
grape honeydew awesome
mantis mantis fuchsia
wheat rhythm zaffre
rhythm waterspout redwood
sienna kobicha topaz
chamoisee apricot patriarch
eucalyptus scarlet celeste
quartz gunmetal toolbox
olive rust quartz
sunglow mystic olive
celeste violet veronica
rajah cerise sandstorm
copper catawba imperial
eggshell avocado snow
manatee persimmon cinnamon
wisteria bubbles aero
olivine carnelian amber
independence orchid turquoise
melon ginger fallow
